Hole_Id,x,y,x84,y84,x56,y56,Cota,SMA,SG,ModC_Nivel
CB-1,-69.34307184,-22.80677074,464791.48,7477829.54,464975.62,7478203.58,1677.13,si,si,no
CB-2,-69.2933582,-22.81738107,469895.82,7476665.98,470080,7477040,1629.06,si,si,si
CB-3,-69.30907608,-22.83795671,468287.62,7474385,468471.79,7474759,1628.08,si,si,si
CB-4,-69.32401684,-22.84297676,466755.85,7473826,466940,7474200,1645.23,si,si,si
CB-5,-69.37337894,-22.82379913,461685.88,7475936.98,461870,7476311,1656.34,si,si,no
CB-6,-69.3664828,-22.84708571,462399.93,7473360.95,462584.06,7473734.95,1660.09,si,si,si
CB-7,-69.41960282,-22.84493877,456949.23,7473584.1,457133.32,7473958.1,1600.8,si,si,no
CB-8,-69.41786695,-22.85807471,457131.45,7472130.46,457315.54,7472504.46,1607.75,si,si,no
CB-9,-69.36532939,-22.88941847,462529.88,7468675.03,462714,7469049,1678.64,si,si,no
CB-10,-69.32914952,-22.86118646,466233.73,7471809.04,466417.88,7472183.03,1690.06,si,si,si
CB-11,-69.40882823,-22.87379686,458063.56,7470392.62,458247.66,7470766.6,1631.02,si,si,no
CB-12,-69.33733118,-22.90823352,465406.32,7466599.06,465590.46,7466973.02,1593.61,si,si,no
CON-10,-69.43538062,-22.89236762,455345.93,7468329.03,455530,7468703,1582,si,si,no
CON-15,-69.42266572,-22.85734352,456638.91,7472210,456823,7472584,1598.05,si,si,no
CON-16,-69.42697574,-22.86725966,456199.92,7471111.01,456384,7471485,1618.59,si,si,no
CON-21,-69.41673789,-22.9016135,457260.91,7467311.04,457445,7467685,1604.25,si,si,no
CON-23,-69.40702192,-22.87723961,458249.9,7470012.02,458434,7470386,1664,si,si,no
KP-DH10-33,-69.36804351,-22.84431723,462239.04,7473667.02,462423.17,7474041.02,1653.71,no,si,no
KP-DH10-40,-69.4204308,-22.84316512,456863.72,7473780.2,457047.81,7474154.21,1596.01,si,si,no
Loreto 3,-69.32153327,-22.84038023,467010.04,7474113.99,467194.2,7474488,1633.4,no,si,si
Loreto 4,-69.30790215,-22.82521825,468405.13,7475795.38,468589.3,7476169.4,1628,no,si,si
QSCSG6-237,-69.31764589,-22.87734882,467417.71,7470022.47,467601.87,7470396.45,1623.97,si,si,si
QSG08-402,-69.33510257,-22.83237168,465615.78,7474997.43,465799.93,7475371.44,1649.06,si,si,no
QSG08-423,-69.3326933,-22.85560461,465868.79,7472426.13,466052.94,7472800.12,1710.24,no,si,no
QSG08-431,-69.33889882,-22.84110349,465228.47,7474029.94,465412.62,7474403.95,1670.46,si,si,si
QSG08-493,-69.32733291,-22.84477524,466416.06,7473626.16,466600.22,7474000.17,1659.16,si,si,si
QSG08-530,-69.33801236,-22.82668895,465315.77,7475625.82,465499.92,7475999.84,1667.3,no,si,no
QSG09-580,-69.3623255,-22.80856873,462816,7477625.79,463000.13,7477999.82,1685.57,no,si,no
QSG09-585,-69.36479577,-22.81986251,462565.57,7476374.96,462749.69,7476748.98,1667.2,no,si,no
QSG09-586,-69.35502673,-22.8198104,463568.04,7476383.17,463752.17,7476757.2,1700.42,no,si,no
QSG09-587,-69.3112799,-22.86061464,468066.79,7471876.32,468250.95,7472250.32,1630.14,no,si,si
QSG09-593,-69.32343473,-22.84707763,466816.57,7473372.17,467000.73,7473746.17,1651.53,no,si,no
QSG09-597,-69.329266,-22.8370951,466215.83,7474475.9,466399.98,7474849.91,1650.12,no,si,no
QSG09-602,-69.31124874,-22.85159727,468067.88,7472874.54,468252.05,7473248.54,1629.87,no,si,no
QSG09-605,-69.31319074,-22.84528716,467867.16,7473572.64,468051.32,7473946.64,1627.79,no,si,no
QSG09-608,-69.30636574,-22.8516071,468568.85,7472874.5,468753.02,7473248.5,1630.72,no,si,si
QSG10-696,-69.37457144,-22.83337844,461566.2,7474876.25,461750.32,7475250.27,1640.56,no,si,no
Casing Acero,-69.30877839,-22.83219398,468316.83,7475022.99,468501,7475397,1628,no,si,si
Pozo monitoreo 1,-69.42133354,-22.84601911,456772,7473464,,,1601,no,si,no
Pozo monitoreo 2,-69.42127506,-22.84601927,456778,7473464,,,1604,no,si,no
Pozo monitoreo 3,-69.40605566,-22.86735065,458346,7471107,,,1631,no,si,no
Pozo monitoreo 4,-69.40594848,-22.86736899,458357,7471105,,,1631,no,si,no
Casagrande Muro 3 Norte,-69.41883707,-22.85195164,457030,7472808,,,1621,no,si,no
Casagrande Muro 3 Sur,-69.41883707,-22.85195164,457030,7472808,,,1621,no,si,no
Casagrande Muro 4 Noroeste,-69.41656826,-22.84629362,457261,7473435,,,1619,no,si,no
Casagrande Muro 4 Sureste,-69.41656826,-22.84629362,457261,7473435,,,1619,no,si,no
MSG-1,-69.42004123,-22.85049408,456906,7472969,,,,si,si,no
Pis,-69.36133825,-22.88486597,462938,7469180,,,,si,si,no
