Pozo,Fecha,Stick up,Nivel1,Nivel,Observacion
CB-1,1/1/2014,0.8,,,Seco
CB-1,2/1/2014,0.8,,,Seco
CB-1,2/1/2014,0.8,,,Seco
CB-1,3/1/2014,0.8,,,Seco
CB-1,6/22/2014,0.8,,,Seco
CB-1,6/22/2014,0.8,,,Seco
CB-1,6/22/2014,0.8,,,Seco
CB-1,7/28/2014,0.8,,,Seco
CB-1,8/24/2014,0.8,,,Seco
CB-1,10/30/2014,0.8,,,Seco
CB-1,11/12/2014,0.8,,,Seco
CB-1,3/3/2015,0.8,,,Seco
CB-1,4/3/2015,0.8,,,Seco
CB-1,5/3/2015,0.8,,,Seco
CB-1,6/4/2015,0.8,,,Seco
CB-1,7/21/2015,0.8,,,Seco
CB-1,7/21/2015,0.8,,,Seco
CB-1,9/3/2015,0.8,,,Seco
CB-1,10/22/2015,0.8,,,Seco
CB-1,11/19/2015,0.8,,,Seco
CB-1,11/30/2015,0.8,,,Seco
CB-1,1/5/2016,0.8,,,Seco
CB-1,2/23/2016,0.8,,,Seco
CB-1,3/3/2016,0.8,,,Seco
CB-1,4/6/2016,0.8,,,Seco
CB-1,5/10/2016,0.8,,,Seco
CB-10,10/22/2013,0.75,90.91,90.16,
CB-10,11/22/2013,0.75,90.84,90.09,
CB-10,12/22/2013,0.75,90.73,89.98,
CB-10,1/20/2014,0.75,90.7,89.95,
CB-10,2/23/2014,0.75,90.76,90.01,
CB-10,3/29/2014,0.75,90.67,89.92,
CB-10,4/27/2014,0.75,90.65,89.9,
CB-10,5/22/2014,0.75,90.6,89.85,
CB-10,6/21/2014,0.75,90.53,89.78,
CB-10,7/21/2014,0.75,90.46,89.71,
CB-10,8/23/2014,0.75,90.35,89.6,
CB-10,9/27/2014,0.75,90.28,89.53,
CB-10,10/31/2014,0.75,90.26,89.51,
CB-10,11/13/2014,0.75,90.23,89.48,
CB-10,12/11/2014,0.75,90.2,89.45,
CB-10,1/11/2015,0.75,90.18,89.43,
CB-10,2/11/2015,0.75,90.2,89.45,
CB-10,3/4/2015,0.75,90.17,89.42,
CB-10,4/4/2015,0.75,90.16,89.41,
CB-10,5/20/2015,0.75,90.09,89.34,
CB-10,6/3/2015,0.75,90.08,89.33,
CB-10,7/20/2015,0.75,89.95,89.2,
CB-10,8/12/2015,0.75,89.95,89.2,
CB-10,9/1/2015,0.75,89.92,89.17,
CB-10,10/21/2015,0.75,89.8,89.05,
CB-10,11/18/2015,0.75,89.67,88.92,
CB-10,12/3/2015,0.75,89.64,88.89,
CB-10,1/5/2016,0.75,89.65,88.9,
CB-10,2/24/2016,0.75,89.56,88.81,
CB-10,3/6/2016,0.75,89.57,88.82,
CB-10,4/8/2016,0.75,89.53,88.78,
CB-10,5/12/2016,0.75,89.52,88.77,
CB-11,1/1/2014,0.7,,,Seco
CB-11,2/1/2014,0.7,,,Seco
CB-11,2/1/2014,0.7,,,Seco
CB-11,3/1/2014,0.7,,,Seco
CB-11,6/22/2014,0.7,,,Seco
CB-11,6/22/2014,0.7,,,Seco
CB-11,6/22/2014,0.7,,,Seco
CB-11,7/28/2014,0.7,,,Seco
CB-11,8/24/2014,0.7,,,Seco
CB-11,10/30/2014,0.7,,,Seco
CB-11,11/12/2014,0.7,,,Seco
CB-11,12/13/2014,0.7,,,Seco
CB-11,3/5/2015,0.7,,,Seco
CB-11,4/5/2015,0.7,,,Seco
CB-11,5/21/2015,0.7,,,Seco
CB-11,6/2/2015,0.7,,,Seco
CB-11,7/2/2015,0.7,,,Seco
CB-11,8/13/2015,0.7,,,Seco
CB-11,9/2/2015,0.7,,,Seco
CB-11,10/20/2015,0.7,,,Seco
CB-11,11/18/2015,0.7,,,Seco
CB-11,12/4/2015,0.7,,,Seco
CB-11,1/4/2016,0.7,,,Seco
CB-11,2/23/2016,0.7,,,Seco
CB-11,3/5/2016,0.7,,,Seco
CB-11,4/9/2016,0.7,,,Seco
CB-11,5/11/2016,0.7,,,Seco
CB-12,2/25/2014,0.73,,,Seco
CB-12,3/28/2014,0.73,,,Seco
CB-12,4/25/2014,0.73,,,Seco
CB-12,6/22/2014,0.73,,,Seco
CB-12,6/22/2014,0.73,,,Seco
CB-12,7/28/2014,0.73,,,Seco
CB-12,8/24/2014,0.73,,,Seco
CB-12,10/29/2014,0.73,,,Seco
CB-12,11/12/2014,0.73,,,Seco
CB-12,12/13/2014,0.73,,,Seco
CB-12,1/13/2015,0.73,,,Seco
CB-12,2/13/2015,0.73,,,Seco
CB-12,3/2/2015,0.73,,,Seco
CB-12,4/2/2015,0.73,48.82,48.09,Pozo con nivel
CB-12,5/20/2015,0.73,48.73,48,
CB-12,6/3/2015,0.73,48.7,47.97,
CB-12,7/21/2015,0.73,48.57,47.84,
CB-12,8/12/2015,0.73,48.53,47.8,
CB-12,9/1/2015,0.73,48.48,47.75,
CB-12,10/21/2015,0.73,48.32,47.59,
CB-12,11/19/2015,0.73,48.24,47.51,
CB-12,11/30/2015,0.73,48.21,47.48,
CB-12,1/5/2016,0.73,48.08,47.35,
CB-12,2/23/2016,0.73,47.87,47.14,
CB-12,3/5/2016,0.73,47.86,47.13,
CB-12,4/6/2016,0.73,48,47.27,
CB-12,5/9/2016,0.73,48.26,47.53,
CB-2,10/17/2012,0.6,31.18,30.58,
CB-2,11/26/2012,0.6,30.92,30.32,
CB-2,12/17/2012,0.6,30.87,30.27,
CB-2,1/12/2013,0.6,30.82,30.22,
CB-2,2/12/2013,0.6,30.8,30.2,
CB-2,3/12/2013,0.6,30.78,30.18,
CB-2,4/12/2013,0.6,32.53,31.93,
CB-2,5/12/2013,0.6,32.61,32.01,
CB-2,6/12/2013,0.6,32.4,31.8,
CB-2,7/12/2013,0.6,32.48,31.88,
CB-2,8/11/2013,0.6,32.52,31.92,
CB-2,9/1/2013,0.6,32.65,32.05,
CB-2,10/22/2013,0.6,32.65,32.05,
CB-2,11/22/2013,0.6,32.6,32,
CB-2,12/22/2013,0.6,32.42,31.82,
CB-2,1/20/2014,0.6,32.46,31.86,
CB-2,2/22/2014,0.6,32.49,31.89,
CB-2,3/28/2014,0.6,32.62,32.02,
CB-2,4/25/2014,0.6,32.59,31.99,
CB-2,5/24/2014,0.6,32.48,31.88,
CB-2,6/22/2014,0.6,32.33,31.73,
CB-2,7/22/2014,0.6,32.21,31.61,
CB-2,8/25/2014,0.6,32.12,31.52,
CB-2,9/28/2014,0.6,32.42,31.82,
CB-2,10/31/2014,0.6,32.56,31.96,
CB-2,11/12/2014,0.6,32.61,32.01,
CB-2,12/8/2014,0.6,32.67,32.07,
CB-2,1/8/2015,0.6,32.71,32.11,
CB-2,2/8/2015,0.6,32.75,32.15,
CB-2,3/3/2015,0.6,32.79,32.19,
CB-2,4/3/2015,0.6,32.89,32.29,
CB-2,5/21/2015,0.6,32.93,32.33,
CB-2,6/4/2015,0.6,32.98,32.38,
CB-2,7/21/2015,0.6,33.04,32.44,
CB-2,8/12/2015,0.6,33.13,32.53,
CB-2,9/3/2015,0.6,33.16,32.56,
CB-2,10/21/2015,0.6,33.16,32.56,
CB-2,11/18/2015,0.6,33.28,32.68,
CB-2,12/2/2015,0.6,33.32,32.72,
CB-2,1/5/2016,0.6,33.44,32.84,
CB-2,2/23/2016,0.6,33.45,32.85,
CB-2,3/4/2016,0.6,33.49,32.89,
CB-2,4/10/2016,0.6,33.51,32.91,
CB-2,5/10/2016,0.6,33.64,33.04,
CB-3,10/17/2012,0.8,27.96,27.16,
CB-3,11/27/2012,0.8,27.96,27.16,
CB-3,12/17/2012,0.8,27.97,27.17,
CB-3,1/12/2013,0.8,27.96,27.16,
CB-3,2/12/2013,0.8,27.97,27.17,
CB-3,3/12/2013,0.8,28,27.2,
CB-3,4/12/2013,0.8,27.99,27.19,
CB-3,5/12/2013,0.8,28,27.2,
CB-3,6/12/2013,0.8,28.01,27.21,
CB-3,7/12/2013,0.8,28,27.2,
CB-3,8/11/2013,0.8,28.02,27.22,
CB-3,9/1/2013,0.8,28.04,27.24,
CB-3,10/22/2013,0.8,28.04,27.24,
CB-3,11/22/2013,0.8,28.02,27.22,
CB-3,12/22/2013,0.8,28,27.2,
CB-3,1/20/2014,0.8,28,27.2,
CB-3,2/20/2014,0.8,28.03,27.23,
CB-3,3/28/2014,0.8,28.06,27.26,
CB-3,4/25/2014,0.8,28.08,27.28,
CB-3,5/24/2014,0.8,28.08,27.28,
