Pozo,SampleID,Fecha,UH,Temp,pH_field,Cond_field,TDS_field,pH_lab,Cond,TDS,Ca,Mg,Na,K,Cl,Alk_HCO3,HCO3,SO4,F,N-NO3,NO3,Ag_tot,Al_tot,CN_tot,As_tot,B,Ba,Be_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,Hg_tot,Li,Mn_tot,Mo_tot,Ni_tot,Pb_tot,Se_tot,Sr,V_tot,Zn_tot,O_18,H_2,SAR,Na_Porcentual,Cations,Anions,Balance
QSCSG6-237,QSCSG6-237_0708,2008/07/24,Aluvial,22.800,7.720,38300.000,,7.770,39400.000,28970.000,505.029,148.380,8517.900,80.000,7202.000,,93.900,10288.000,5.910,621.000,2749.167,0.200,,0.010,8.000,108.400,1.331,,0.400,0.400,0.400,0.603,172.646,0.000,3.262,5.640,1.200,2.000,2.000,8.000,11.935,1.200,1.585,,,89.628,,,,
QSG08-402,QSG08-402_0708,2008/07/25,Roca,22.300,6.880,73900.000,,6.880,73900.000,48450.000,2279.441,1885.230,11858.400,118.400,28654.000,,187.000,3182.000,0.020,65.460,289.791,0.400,,0.010,8.000,10.020,,,0.400,0.400,0.400,0.554,207.482,0.000,3.658,16.212,1.200,2.000,2.131,8.000,33.772,1.200,12.244,,,45.746,65.634,785.542,882.369,-5.805
QSG08-493,QSG08-493_0708,2008/07/25,Roca,23.000,6.500,81700.000,,6.640,84900.000,47510.000,684.824,567.480,21774.500,318.800,21203.000,,61.000,15627.000,5.000,2042.000,9039.934,1.000,,0.010,20.000,132.980,1.000,,1.000,1.000,1.000,1.000,66.851,0.000,2.870,1.869,3.000,5.000,5.000,20.000,11.922,3.000,2.579,,,46.788,91.455,1035.175,1075.072,-1.891
QSG08-402,QSG08-402_0808,2008/08/16,Roca,23.100,7.730,71900.000,,7.660,71900.000,43773.000,2134.320,1761.390,11728.500,121.600,29399.000,,167.000,3292.000,0.020,54.730,242.290,0.500,102.370,0.010,10.000,11.690,0.500,2.500,0.500,0.500,0.500,0.739,238.503,0.000,2.885,22.883,1.500,2.500,4.401,10.000,31.527,1.500,18.615,,,97.491,66.862,762.668,904.554,-8.510
QSG08-493,QSG08-493_0808,2008/08/17,Roca,23.800,4.300,66100.000,,4.530,66100.000,39227.000,600.869,265.650,16579.800,216.400,18099.000,,0.000,13478.000,5.800,1556.000,6888.412,0.500,10.000,0.010,10.000,115.160,0.500,2.500,0.500,0.500,0.500,1.025,6.631,0.000,2.775,0.259,1.500,2.500,2.500,10.000,9.632,1.500,0.641,,,44.451,92.687,777.738,905.921,-7.613
QSCSG6-237,QSCSG6-237_0808,2008/08/18,Aluvial,22.400,7.890,37600.000,,7.860,38600.000,23684.000,499.889,142.910,9173.400,100.000,7618.000,,132.000,10611.000,6.510,649.000,2873.123,0.038,50.790,0.010,0.132,75.053,0.342,0.250,0.025,0.050,0.250,0.418,49.607,0.000,2.500,1.305,0.247,0.250,0.044,0.500,11.292,0.500,0.500,,,96.096,,,,
QSG08-402,QSG08-402_0908,2008/09/06,Roca,23.000,6.950,75800.000,,7.020,64300.000,49598.000,2204.282,1728.810,11151.200,100.000,27341.000,,,2668.000,2.540,28.130,124.532,1.000,55.720,0.010,20.000,10.000,1.000,5.000,1.000,1.000,1.000,1.000,52.066,,3.790,11.195,3.000,5.000,5.000,20.000,30.233,3.000,6.308,,,46.881,65.717,737.765,828.814,-5.812
QSG08-493,QSG08-493_0908,2008/09/06,Roca,24.500,6.590,75100.000,,7.310,63900.000,56975.000,616.917,263.430,17628.600,225.300,18884.000,,92.000,12146.000,5.940,1589.000,7034.503,1.000,78.900,0.010,20.000,125.880,1.000,5.000,1.000,1.000,1.000,4.387,92.194,,4.018,2.169,3.000,5.000,5.000,20.000,9.567,3.000,3.890,,,99.121,92.998,824.171,904.272,-4.634
QSCSG6-237,QSCSG6-237_0908,2008/09/09,Aluvial,22.000,7.800,37800.000,,7.850,33700.000,29295.000,529.005,145.060,9234.900,100.000,7753.000,,127.000,9973.000,6.580,633.000,2802.291,0.500,10.000,0.010,10.000,81.250,0.500,2.500,0.500,0.500,0.500,0.500,3.083,,1.326,0.250,1.500,2.500,2.500,10.000,12.258,1.500,0.250,,,45.132,,,,
QSG08-402,QSG08-402_1008,2008/10/11,Roca,22.810,6.770,61930.000,,6.980,69600.000,50025.000,2660.000,2130.000,13000.000,110.000,28725.000,,161.000,40.780,1.400,0.001,0.002,0.006,6.890,0.010,0.039,10.700,0.239,0.100,0.042,0.021,0.100,0.357,10.000,0.000,3.700,8.840,0.015,0.135,0.349,0.011,22.900,0.200,3.960,,,117.708,64.687,873.767,813.715,3.559
QSCSG6-237,QSCSG6-237_1008,2008/10/13,Aluvial,21.470,7.680,33690.000,,7.730,38000.000,30425.000,593.000,164.000,10100.000,55.000,7319.000,,107.000,10389.000,6.170,615.000,2722.605,0.001,1.510,0.010,0.059,83.100,0.018,0.050,0.001,0.003,0.112,0.208,1.800,0.000,1.660,0.076,0.338,0.004,0.035,0.246,11.400,0.200,0.054,,,8.554,90.895,483.119,469.871,1.390
QSG08-493,QSG08-493_1008,2008/10/13,Roca,24.180,6.880,61110.000,,7.260,71400.000,58980.000,741.000,317.000,20400.000,250.000,18534.000,,68.000,12744.000,5.050,1524.000,6746.748,0.035,10.300,0.010,0.090,127.000,0.101,0.100,0.040,0.026,0.160,0.920,15.400,0.000,4.000,1.050,0.017,0.049,0.825,0.493,10.500,0.200,1.880,,,31.365,92.798,955.793,901.662,2.914
QSG08-493,QSG08-493_1108,2008/11/11,Roca,26.000,4.970,77160.000,,5.440,,73600.000,473.000,1025.000,58782.000,568.000,41109.000,,105.000,24930.000,0.200,3939.000,17437.953,,5.720,0.020,0.755,128.000,0.018,0.000,0.102,0.027,0.025,1.080,3.270,0.001,9.980,0.524,0.005,0.070,0.010,0.278,,0.008,2.960,,,93.329,95.440,2677.846,1970.915,15.207
QSG08-402,QSG08-402_1108,2008/11/13,Roca,24.540,6.550,62730.000,31370.000,7.460,,39000.000,2928.000,1497.000,11613.000,117.000,30607.000,,168.000,2839.000,6.810,37.400,165.570,,1.550,0.020,0.006,6.670,0.048,0.000,0.020,0.012,0.005,0.044,1.980,0.001,7.150,5.430,0.005,0.005,0.047,0.005,,0.008,1.790,,,48.882,65.176,774.697,927.933,-9.000
QSCSG6-237,QSCSG6-237_1108,2008/11/14,Aluvial,26.300,7.610,33470.000,16600.000,7.850,,20000.000,492.000,146.000,11061.000,70.500,5573.000,,122.000,8373.000,11.400,570.000,2523.390,,1.800,0.020,0.038,76.300,0.016,0.000,0.001,0.012,0.035,0.116,2.260,0.001,3.890,0.068,0.235,0.005,0.019,0.005,,0.029,0.068,,,124.196,92.686,518.864,375.575,16.020
QSG08-402,QSG08-402_0209,2009/02/11,Roca,28.460,6.670,70140.000,35030.000,7.030,,36600.000,515.000,469.000,1086.000,28.800,24708.000,,131.000,2313.000,1.040,20.400,90.311,0.024,1.090,0.020,0.006,6.490,0.047,0.000,0.020,0.005,0.005,0.032,0.911,0.001,0.003,5.890,0.036,0.005,0.035,0.005,,0.008,1.340,,,60.360,42.231,111.806,748.732,-74.015
QSG08-493,QSG08-493_0209,2009/02/11,Roca,28.510,4.910,104100.000,551700.000,5.510,,53200.000,82.800,93.600,7472.000,73.400,24862.000,,52.000,15233.000,0.280,2587.000,11452.649,0.172,0.719,0.020,0.003,97.900,0.006,0.005,0.080,0.013,0.005,0.993,0.172,0.001,0.003,0.363,0.005,0.029,0.011,0.005,,0.008,1.080,,,,95.969,338.515,1210.137,-56.283
QSCSG6-237,QSCSG6-237_0209,2009/02/12,Aluvial,31.190,7.630,39250.000,19620.000,7.810,,23200.000,76.900,48.500,1381.000,16.400,6394.000,,210.000,8967.000,0.320,856.000,3789.512,0.002,125.000,0.020,0.108,39.000,0.372,0.006,0.015,0.043,0.115,0.416,71.100,0.001,0.025,1.560,0.237,0.036,0.090,0.107,,0.348,0.452,,,51.858,88.006,68.226,433.642,-72.811
QSCSG6-237,QSCSG6-237_0509,2009/05/01,Aluvial,21.110,7.730,37090.000,18560.000,,,24350.000,506.000,207.000,9480.000,67.100,7700.000,,104.000,10500.000,2.000,598.000,2647.346,0.040,6.070,0.010,0.071,,0.060,0.002,0.001,0.004,0.086,,6.310,0.004,1.890,0.172,0.351,0.283,0.065,0.246,11.500,0.049,0.110,,,108.205,90.440,455.744,481.626,-2.761
QSG08-402,QSG08-402_0509,2009/05/01,Roca,24.220,6.590,67760.000,33880.000,,,41404.000,2001.000,1760.000,12100.000,87.700,28500.000,,174.000,2980.000,2.000,17.500,77.473,0.040,0.489,0.010,0.001,,0.082,0.002,0.035,0.011,0.010,,0.740,0.004,3.270,9.340,0.011,1.870,0.025,0.060,34.800,0.002,2.070,,,51.230,68.208,771.298,870.069,-6.018
